================================================================================
           BHARATIYA SARVODAYA BANK (BSB) - SYSTEM LOGIN CREDENTIALS
================================================================================

--------------------------------------------------------------------------------
1. STAFF USERS (USER REGISTRY - 10 EMPLOYEES IN EACH OF THE 10 BRANCHES = 100 STAFF USERS)
--------------------------------------------------------------------------------
S.No | Full Name             | User ID      | Email Address           | Password     | Role             | Branch Name
34   | Venkatesh Iyer        | NX@CHEEMP04  | chennai.emp4@bank.com   | Teller123!   | Employee         | Anna Salai Branch
35   | Malini Balaji         | NX@CHEEMP05  | chennai.emp5@bank.com   | Teller123!   | Loan Officer     | Anna Salai Branch
36   | Senthil Kumar         | NX@CHEEMP06  | chennai.emp6@bank.com   | Teller123!   | Employee         | Anna Salai Branch
37   | Nithya Natarajan      | NX@CHEEMP07  | chennai.emp7@bank.com   | Teller123!   | Employee         | Anna Salai Branch
38   | Vijay Ranganathan     | NX@CHEEMP08  | chennai.emp8@bank.com   | Teller123!   | Employee         | Anna Salai Branch
39   | Preeti Subramanian    | NX@CHEEMP09  | chennai.emp9@bank.com   | Teller123!   | Employee         | Anna Salai Branch
40   | Dinesh Kannan         | NX@CHEEMP10  | chennai.emp10@bank.com  | Teller123!   | Employee         | Anna Salai Branch

-- BRANCH 5: PARK STREET BRANCH (b-kolkata) --
41   | Vikram Singh          | NX@SINGH005  | cashier@bank.com        | Cashier123!  | Employee         | Park Street Branch
42   | Sourav Ganguly        | NX@KOLEMP02  | kolkata.emp2@bank.com   | Teller123!   | Branch Manager   | Park Street Branch
43   | Joyeeta Sen           | NX@KOLEMP03  | kolkata.emp3@bank.com   | Teller123!   | Employee         | Park Street Branch
44   | Arnab Mukherjee       | NX@KOLEMP04  | kolkata.emp4@bank.com   | Teller123!   | Employee         | Park Street Branch
45   | Poulomi Das           | NX@KOLEMP05  | kolkata.emp5@bank.com   | Teller123!   | Loan Officer     | Park Street Branch
46   | Subhashish Roy        | NX@KOLEMP06  | kolkata.emp6@bank.com   | Teller123!   | Employee         | Park Street Branch
47   | Sanchita Bose         | NX@KOLEMP07  | kolkata.emp7@bank.com   | Teller123!   | Employee         | Park Street Branch
48   | Debabrata Ghosh       | NX@KOLEMP08  | kolkata.emp8@bank.com   | Teller123!   | Employee         | Park Street Branch
49   | Rimpa Dutta           | NX@KOLEMP09  | kolkata.emp9@bank.com   | Teller123!   | Employee         | Park Street Branch
50   | Amitabha Bhattacharya | NX@KOLEMP10  | kolkata.emp10@bank.com  | Teller123!   | Employee         | Park Street Branch

-- BRANCH 6: BANJARA HILLS BRANCH (b-hyd) --
51   | Suresh Iyer           | NX@IYER0007  | suresh.i@bank.com       | Manager123!  | Branch Manager   | Banjara Hills Branch
52   | Srilatha Varma        | NX@HYDEMP02  | hyderabad.emp2@bank.com | Teller123!   | Employee         | Banjara Hills Branch
53   | Madhav Naidu          | NX@HYDEMP03  | hyderabad.emp3@bank.com | Teller123!   | Employee         | Banjara Hills Branch
54   | Bhavana Raju          | NX@HYDEMP04  | hyderabad.emp4@bank.com | Teller123!   | Employee         | Banjara Hills Branch
55   | Tarun Teja            | NX@HYDEMP05  | hyderabad.emp5@bank.com | Teller123!   | Loan Officer     | Banjara Hills Branch
56   | Haritha Reddy         | NX@HYDEMP06  | hyderabad.emp6@bank.com | Teller123!   | Employee         | Banjara Hills Branch
57   | Mahesh Chowdary       | NX@HYDEMP07  | hyderabad.emp7@bank.com | Teller123!   | Employee         | Banjara Hills Branch
58   | Anusha Kulkarni       | NX@HYDEMP08  | hyderabad.emp8@bank.com | Teller123!   | Employee         | Banjara Hills Branch
59   | Sravan Kumar          | NX@HYDEMP09  | hyderabad.emp9@bank.com | Teller123!   | Employee         | Banjara Hills Branch
60   | Pradeep Goud          | NX@HYDEMP10  | hyderabad.emp10@bank.com| Teller123!   | Employee         | Banjara Hills Branch

-- BRANCH 7: CG ROAD BRANCH (b-ahmedabad) --
61   | Kavita Joshi          | NX@JOSHI008  | kavita.j@bank.com       | Teller123!   | Employee         | CG Road Branch
62   | Jayesh Patel          | NX@AMDEMP02  | ahmedabad.emp2@bank.com | Teller123!   | Branch Manager   | CG Road Branch
63   | Hiral Shah            | NX@AMDEMP03  | ahmedabad.emp3@bank.com | Teller123!   | Employee         | CG Road Branch
64   | Chirag Mehta          | NX@AMDEMP04  | ahmedabad.emp4@bank.com | Teller123!   | Employee         | CG Road Branch
65   | Kinjal Parikh         | NX@AMDEMP05  | ahmedabad.emp5@bank.com | Teller123!   | Loan Officer     | CG Road Branch
66   | Nimesh Trivedi        | NX@AMDEMP06  | ahmedabad.emp6@bank.com | Teller123!   | Employee         | CG Road Branch
67   | Falak Pandya          | NX@AMDEMP07  | ahmedabad.emp7@bank.com | Teller123!   | Employee         | CG Road Branch
68   | Bhavesh Solanki       | NX@AMDEMP08  | ahmedabad.emp8@bank.com | Teller123!   | Employee         | CG Road Branch
69   | Purvi Vora            | NX@AMDEMP09  | ahmedabad.emp9@bank.com | Teller123!   | Employee         | CG Road Branch
70   | Darshan Choksi        | NX@AMDEMP10  | ahmedabad.emp10@bank.com| Teller123!   | Employee         | CG Road Branch

-- BRANCH 8: FC ROAD BRANCH (b-pune) --
71   | Ananya Deshmukh       | NX@DESH0006  | ananya.d@bank.com       | Manager123!  | Branch Manager   | FC Road Branch
72   | Sachin Gadgil         | NX@PUNEMP02  | pune.emp2@bank.com      | Teller123!   | Employee         | FC Road Branch
73   | Rutuja Jagtap         | NX@PUNEMP03  | pune.emp3@bank.com      | Teller123!   | Employee         | FC Road Branch
74   | Omkar Barve           | NX@PUNEMP04  | pune.emp4@bank.com      | Teller123!   | Employee         | FC Road Branch
75   | Sayali Kakade         | NX@PUNEMP05  | pune.emp5@bank.com      | Teller123!   | Loan Officer     | FC Road Branch
76   | Tushar Mahajan        | NX@PUNEMP06  | pune.emp6@bank.com      | Teller123!   | Employee         | FC Road Branch
77   | Asmita Phadke         | NX@PUNEMP07  | pune.emp7@bank.com      | Teller123!   | Employee         | FC Road Branch
78   | Prasad Dhage          | NX@PUNEMP08  | pune.emp8@bank.com      | Teller123!   | Employee         | FC Road Branch
79   | Sneha Nene            | NX@PUNEMP09  | pune.emp9@bank.com      | Teller123!   | Employee         | FC Road Branch
80   | Siddhesh Bapat        | NX@PUNEMP10  | pune.emp10@bank.com     | Teller123!   | Employee         | FC Road Branch

-- BRANCH 9: MI ROAD BRANCH (b-jaipur) --
81   | Pooja Agarwal         | NX@AGAR0010  | pooja.a@bank.com        | Loan123!     | Loan Officer     | MI Road Branch
82   | Vikramaditya Rathore  | NX@JAIEMP02  | jaipur.emp2@bank.com    | Teller123!   | Branch Manager   | MI Road Branch
83   | Sunita Shekhawat      | NX@JAIEMP03  | jaipur.emp3@bank.com    | Teller123!   | Employee         | MI Road Branch
84   | Harshwardhan Singh    | NX@JAIEMP04  | jaipur.emp4@bank.com    | Teller123!   | Employee         | MI Road Branch
85   | Kirti Kanwar          | NX@JAIEMP05  | jaipur.emp5@bank.com    | Teller123!   | Employee         | MI Road Branch
86   | Lokendra Chouhan      | NX@JAIEMP06  | jaipur.emp6@bank.com    | Teller123!   | Employee         | MI Road Branch
87   | Yashoda Sharma        | NX@JAIEMP07  | jaipur.emp7@bank.com    | Teller123!   | Employee         | MI Road Branch
88   | Digvijay Mina         | NX@JAIEMP08  | jaipur.emp8@bank.com    | Teller123!   | Employee         | MI Road Branch
89   | Shweta Mathur         | NX@JAIEMP09  | jaipur.emp9@bank.com    | Teller123!   | Employee         | MI Road Branch
90   | Jitendra Saini        | NX@JAIEMP10  | jaipur.emp10@bank.com   | Teller123!   | Employee         | MI Road Branch

-- BRANCH 10: HAZRATGANJ BRANCH (b-lucknow) --
91   | Rahul Gupta           | NX@GUPTA009  | rahul.g@bank.com        | Compliance123! | Compliance Officer | Hazratganj Branch
92   | Shailendra Srivastava | NX@LKOEMP02  | lucknow.emp2@bank.com   | Teller123!   | Branch Manager   | Hazratganj Branch
93   | Archana Tripathi      | NX@LKOEMP03  | lucknow.emp3@bank.com   | Teller123!   | Employee         | Hazratganj Branch
94   | Alok Pandey           | NX@LKOEMP04  | lucknow.emp4@bank.com   | Teller123!   | Employee         | Hazratganj Branch
95   | Pragya Mishra         | NX@LKOEMP05  | lucknow.emp5@bank.com   | Teller123!   | Employee         | Hazratganj Branch
96   | Devesh Shukla         | NX@LKOEMP06  | lucknow.emp6@bank.com   | Teller123!   | Employee         | Hazratganj Branch
97   | Shalini Yadav         | NX@LKOEMP07  | lucknow.emp7@bank.com   | Teller123!   | Employee         | Hazratganj Branch
98   | Vivek Nigam           | NX@LKOEMP08  | lucknow.emp8@bank.com   | Teller123!   | Employee         | Hazratganj Branch
99   | Garima Bajpai         | NX@LKOEMP09  | lucknow.emp9@bank.com   | Teller123!   | Employee         | Hazratganj Branch
100  | Rakesh Tiwari         | NX@LKOEMP10  | lucknow.emp10@bank.com  | Teller123!   | Employee         | Hazratganj Branch


--------------------------------------------------------------------------------
2. CUSTOMERS (CUSTOMER REGISTRY)
--------------------------------------------------------------------------------
S.No | Full Name          | Customer ID  | Account Number | Email Address              | Password       | Transaction PIN
-----|--------------------|--------------|----------------|----------------------------|----------------|----------------
1    | Aarav Mehta        | NX@MEHTA001  | 1000987654     | customer@bank.com          | Customer123!   | 987654
2    | Diya Banerjee      | NX@BANE0002  | 1000987655     | diya.banerjee@yahoo.com    | Customer123!   | 123456
3    | Rohan Kulkarni     | NX@KULK0003  | 1000987656     | rohan.kulkarni@gmail.com   | Customer123!   | 123456
4    | Ananya Swaminathan | NX@SWAM0004  | 1000987657     | ananya.swami@gmail.com     | Customer123!   | 123456
5    | Kabir Malhotra     | NX@MALH0005  | 1000987658     | kabir.malhotra@gmail.com   | Customer123!   | 123456
6    | Sneha Nair         | NX@NAIR0006  | 1000987659     | sneha.nair@outlook.com     | Customer123!   | 123456
7    | Aditya Chawla      | NX@CHAW0007  | 1000987660     | aditya.chawla@gmail.com    | Customer123!   | 123456
8    | Meera Deshpande    | NX@DESH0008  | 1000987661     | meera.deshpande@gmail.com  | Customer123!   | 123456
9    | Siddharth Rao      | NX@RAO00009  | 1000987662     | siddharth.rao@gmail.com    | Customer123!   | 123456
10   | Ishita Saxena      | NX@SAXE0010  | 1000987663     | ishita.saxena@gmail.com    | Customer123!   | 123456

--------------------------------------------------------------------------------
3. MERCHANTS
--------------------------------------------------------------------------------
1    | Rajesh Retail      | NX@MERCH01   | 1000999001     | merchant@bank.com          | Merchant123!   | 123456

================================================================================
4. SYSTEM RUN COMMANDS & APPLICATION STARTUP GUIDE (FRONTEND & BACKEND)
================================================================================

--------------------------------------------------------------------------------
1. CORE MAIN BACKEND API SERVER
--------------------------------------------------------------------------------
Backend Run Command:   npm run dev
Alternative Command:   node backend/server.js
Working Directory:     c:\my_project\ag10_banking
API Server Endpoint:   http://localhost:5000

--------------------------------------------------------------------------------
2. GLOBAL HEADQUARTERS PORTAL (HQ CONSOLE)
--------------------------------------------------------------------------------
Frontend Run Command:  npm run hq:frontend
Direct Directory:      cd headquarter/frontend && npm run dev (or npx vite)
Backend Run Command:   npm run hq:backend
Direct Directory:      node headquarter/backend/server.js
Target Users:          Super Admin (Rajesh Sharma), HQ Compliance Officers, Auditors

--------------------------------------------------------------------------------
3. BRANCHES AND EMPLOYEES PORTAL (BRANCH & STAFF CONSOLE)
--------------------------------------------------------------------------------
Frontend Run Command:  npm run branch:frontend
Direct Directory:      cd branches_and_employees/frontend && npm run dev (or npx vite)
Backend Run Command:   npm run branch:backend
Direct Directory:      node branches_and_employees/backend/server.js
Target Users:          Branch Managers (Priya Patel), Employees (Tellers, Loan Officers)

--------------------------------------------------------------------------------
4. CUSTOMERS PORTAL (RETAIL INTERNET BANKING)
--------------------------------------------------------------------------------
Frontend Run Command:  npm run customer:frontend
Direct Directory:      cd customers/frontend && npm run dev (or npx vite)
Backend Run Command:   npm run customer:backend
Direct Directory:      node customers/backend/server.js
Target Users:          Retail Bank Customers (Aarav Mehta, Diya Banerjee, etc.)

--------------------------------------------------------------------------------
5. MAIN BANKING HUB FRONTEND
--------------------------------------------------------------------------------
Frontend Run Command:  cd frontend && npm run dev (or npx vite)
Target Users:          Integrated Multi-Portal Banking Hub Dashboard
================================================================================
